Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,labels
2023-04-16 08:50:30:507418,2.8181818181818183,10.136363636363637,1031.3181818181818,-671.3627939187819,25.454545454545453,101.8181818181818,-167.13636363636363,-167.13636363636363,-167.13636363636363,0.0
2023-04-16 08:50:30:522964,1.4545454545454546,11.931818181818182,1031.5454545454545,-663.9097306776753,22.272727272727277,114.54545454545456,-167.0681818181818,-167.0681818181818,-167.0681818181818,0.0
2023-04-16 08:50:30:531968,0.8181818181818182,12.295454545454543,1032.659090909091,-657.3231259944796,-7.954545454545454,130.45454545454547,-166.75,-166.75,-166.75,0.0
2023-04-16 08:50:30:547407,0.75,11.954545454545457,1033.75,-652.3363491349754,-28.63636363636364,147.95454545454547,-166.5,-166.5,-166.5,0.0
2023-04-16 08:50:30:557777,0.1363636363636363,11.5,1035.2954545454545,-648.5815811756621,-31.818181818181817,163.86363636363637,-166.4090909090909,-166.4090909090909,-166.4090909090909,0.0
2023-04-16 08:50:30:572011,-0.3636363636363636,10.204545454545457,1035.5,-645.5309996023532,-41.36363636363637,184.54545454545453,-166.0681818181818,-166.0681818181818,-166.0681818181818,0.0
2023-04-16 08:50:30:587394,-1.5227272727272727,8.045454545454545,1035.0681818181818,-642.7572392717747,-57.27272727272727,208.4090909090909,-166.0681818181818,-166.0681818181818,-166.0681818181818,0.0
2023-04-16 08:50:30:597904,-3.113636363636364,6.5227272727272725,1034.0,-640.249936621447,-44.54545454545455,230.6818181818182,-165.9318181818182,-165.9318181818182,-165.9318181818182,0.0
2023-04-16 08:50:30:612029,-4.386363636363637,5.295454545454546,1034.6818181818182,-636.7933250511991,-73.18181818181819,251.3636363636364,-166.0,-166.0,-166.0,0.0
2023-04-16 08:50:30:622478,-4.795454545454546,3.75,1034.2272727272727,-632.4451512308844,-89.0909090909091,275.22727272727275,-165.79545454545453,-165.79545454545453,-165.79545454545453,0.0
2023-04-16 08:50:30:637783,-5.613636363636363,2.613636363636364,1036.0,-627.1797844953472,-103.4090909090909,297.5,-165.54545454545453,-165.54545454545453,-165.54545454545453,0.0
2023-04-16 08:50:30:652136,-4.840909090909091,3.0454545454545454,1038.159090909091,-621.2138754044381,-100.22727272727272,319.77272727272725,-165.38636363636363,-165.38636363636363,-165.38636363636363,0.0
2023-04-16 08:50:30:662358,-4.727272727272728,3.886363636363636,1039.9545454545455,-614.8736347627269,-85.9090909090909,337.27272727272725,-165.1818181818182,-165.1818181818182,-165.1818181818182,0.0
2023-04-16 08:50:30:681953,-6.068181818181818,3.9318181818181817,1039.340909090909,-608.5626843495038,-44.54545454545455,359.54545454545456,-165.02272727272728,-165.02272727272728,-165.02272727272728,0.0
2023-04-16 08:50:30:689191,-6.636363636363637,3.4318181818181817,1040.1818181818182,-601.6245530363725,-31.818181818181817,380.2272727272728,-164.61363636363637,-164.61363636363637,-164.61363636363637,0.0
2023-04-16 08:50:30:702525,-6.863636363636363,2.7045454545454546,1039.7954545454545,-593.7794558730934,-19.09090909090909,402.5,-164.45454545454547,-164.45454545454547,-164.45454545454547,0.0
2023-04-16 08:50:30:717828,-7.409090909090909,2.136363636363636,1038.340909090909,-585.0085228587394,4.7727272727272725,421.59090909090907,-164.4090909090909,-164.4090909090909,-164.4090909090909,0.0
2023-04-16 08:50:30:727044,-8.386363636363637,3.5681818181818183,1035.2954545454545,-574.5851015830455,19.09090909090909,435.9090909090909,-164.4090909090909,-164.4090909090909,-164.4090909090909,0.0
2023-04-16 08:50:30:742575,-9.25,3.2954545454545454,1034.7954545454545,-562.9353081946157,17.5,450.2272727272728,-164.4090909090909,-164.4090909090909,-164.4090909090909,0.0
2023-04-16 08:50:30:752746,-9.272727272727272,3.4545454545454546,1034.409090909091,-549.862339035172,17.5,458.1818181818182,-164.47727272727272,-164.47727272727272,-164.47727272727272,0.0
2023-04-16 08:50:30:767061,-9.840909090909092,3.386363636363636,1032.6136363636365,-536.3860993657505,47.72727272727273,464.54545454545456,-164.4318181818182,-164.4318181818182,-164.4318181818182,0.0
2023-04-16 08:50:30:782637,-10.636363636363637,3.840909090909091,1033.090909090909,-522.3243801652893,52.5,472.5,-164.5,-164.5,-164.5,0.0
2023-04-16 08:50:30:792739,-10.477272727272728,4.386363636363637,1032.4318181818182,-508.0423553719009,55.68181818181818,485.2272727272728,-164.4318181818182,-164.4318181818182,-164.4318181818182,0.0
2023-04-16 08:50:30:807160,-10.227272727272728,4.545454545454546,1033.0,-494.1580578512396,65.22727272727273,499.54545454545456,-164.5681818181818,-164.5681818181818,-164.5681818181818,0.0
2023-04-16 08:50:30:817441,-11.318181818181818,4.704545454545454,1032.1818181818182,-479.98450413223145,68.4090909090909,513.8636363636364,-164.22727272727272,-164.22727272727272,-164.22727272727272,0.0
2023-04-16 08:50:30:832868,-11.613636363636363,5.545454545454546,1032.3863636363635,-465.6301652892562,70.0,532.9545454545455,-164.22727272727272,-164.22727272727272,-164.22727272727272,0.0
2023-04-16 08:50:30:847243,-12.75,5.545454545454546,1030.9772727272727,-451.3481404958678,90.6818181818182,548.8636363636364,-164.22727272727272,-164.22727272727272,-164.22727272727272,0.0
2023-04-16 08:50:30:857562,-13.590909090909092,7.340909090909091,1030.4545454545455,-436.9214876033057,97.04545454545456,561.5909090909091,-164.0681818181818,-164.0681818181818,-164.0681818181818,0.0
2023-04-16 08:50:30:873042,-14.613636363636363,7.636363636363637,1030.5227272727273,-422.7479338842976,98.63636363636364,569.5454545454545,-163.75,-163.75,-163.75,0.0
2023-04-16 08:50:30:882139,-16.204545454545453,6.863636363636363,1030.2954545454545,-408.8997933884297,112.95454545454544,577.5,-163.47727272727272,-163.47727272727272,-163.47727272727272,0.0
2023-04-16 08:50:30:897577,-15.568181818181818,6.954545454545454,1033.4318181818182,-395.34090909090907,92.27272727272728,587.0454545454545,-163.3409090909091,-163.3409090909091,-163.3409090909091,0.0
2023-04-16 08:50:30:913193,-16.045454545454547,7.795454545454546,1036.409090909091,-382.36053719008265,103.4090909090909,595.0,-163.3409090909091,-163.3409090909091,-163.3409090909091,0.0
2023-04-16 08:50:30:922124,-15.840909090909092,7.727272727272727,1039.3181818181818,-370.5371900826447,122.5,602.9545454545455,-163.4090909090909,-163.4090909090909,-163.4090909090909,0.0
2023-04-16 08:50:30:937531,-16.022727272727273,7.590909090909091,1040.8863636363635,-360.051652892562,149.54545454545453,614.0909090909091,-163.3409090909091,-163.3409090909091,-163.3409090909091,0.0
2023-04-16 08:50:30:948176,-18.522727272727277,7.840909090909091,1040.25,-350.79545454545456,186.13636363636363,622.0454545454545,-163.20454545454547,-163.20454545454547,-163.20454545454547,0.0
2023-04-16 08:50:30:962155,-19.931818181818183,6.977272727272728,1038.8181818181818,-342.5154958677686,197.27272727272728,626.8181818181819,-162.9318181818182,-162.9318181818182,-162.9318181818182,0.0
2023-04-16 08:50:30:977526,-20.38636363636364,7.136363636363637,1038.159090909091,-334.922520661157,197.27272727272728,633.1818181818181,-162.8181818181818,-162.8181818181818,-162.8181818181818,0.0
2023-04-16 08:50:30:988179,-21.568181818181817,6.090909090909091,1037.2954545454545,-327.6911157024793,203.63636363636363,634.7727272727273,-162.61363636363637,-162.61363636363637,-162.61363636363637,0.0
2023-04-16 08:50:31:002144,-22.795454545454547,4.159090909090909,1035.4545454545455,-320.71280991735534,210.0,642.7272727272727,-162.54545454545453,-162.54545454545453,-162.54545454545453,0.0
2023-04-16 08:50:31:012522,-22.795454545454547,3.022727272727273,1037.0,-313.80681818181824,210.0,649.0909090909091,-162.72727272727272,-162.72727272727272,-162.72727272727272,0.0
2023-04-16 08:50:31:028181,-23.40909090909091,1.6590909090909092,1038.6818181818182,-306.50309917355366,203.63636363636363,657.0454545454545,-162.52272727272728,-162.52272727272728,-162.52272727272728,0.0
2023-04-16 08:50:31:042150,-23.568181818181817,0.9545454545454546,1039.8181818181818,-298.620867768595,217.95454545454547,666.5909090909091,-162.38636363636363,-162.38636363636363,-162.38636363636363,0.0
2023-04-16 08:50:31:052574,-25.704545454545453,0.0681818181818181,1038.1136363636365,-289.7985537190083,237.04545454545453,674.5454545454545,-162.54545454545453,-162.54545454545453,-162.54545454545453,0.0
2023-04-16 08:50:31:068071,-24.59090909090909,0.3409090909090909,1037.1136363636365,-279.60227272727275,229.0909090909091,680.9090909090909,-162.63636363636363,-162.63636363636363,-162.63636363636363,0.0
2023-04-16 08:50:31:077147,-26.272727272727277,-0.0681818181818181,1036.159090909091,-268.0320247933885,243.4090909090909,687.2727272727273,-162.70454545454547,-162.70454545454547,-162.70454545454547,0.0
2023-04-16 08:50:31:092699,-25.681818181818183,-1.0,1036.3863636363635,-254.76239669421489,238.63636363636363,695.2272727272727,-162.72727272727272,-162.72727272727272,-162.72727272727272,0.0
2023-04-16 08:50:31:108919,-25.65909090909091,-1.6590909090909092,1035.840909090909,-239.6487603305785,252.95454545454547,703.1818181818181,-163.11363636363637,-163.11363636363637,-163.11363636363637,0.0
2023-04-16 08:50:31:117175,-26.568181818181817,-1.7727272727272727,1034.6818181818182,-222.43801652892563,278.40909090909093,709.5454545454545,-163.25,-163.25,-163.25,0.0
2023-04-16 08:50:31:132735,-26.681818181818183,-1.3409090909090908,1032.9545454545455,-203.2747933884297,292.72727272727275,720.6818181818181,-163.13636363636363,-163.13636363636363,-163.13636363636363,0.0
2023-04-16 08:50:31:143049,-27.454545454545453,-0.5454545454545454,1032.2045454545455,-182.95454545454547,318.1818181818182,723.8636363636364,-163.1590909090909,-163.1590909090909,-163.1590909090909,0.0
2023-04-16 08:50:31:157381,-27.931818181818183,0.4545454545454545,1031.1363636363635,-161.5495867768595,329.3181818181818,727.0454545454545,-162.97727272727272,-162.97727272727272,-162.97727272727272,0.0
2023-04-16 08:50:31:172627,-27.863636363636363,1.2045454545454546,1030.7954545454545,-139.45764462809916,340.45454545454544,728.6363636363636,-162.97727272727272,-162.97727272727272,-162.97727272727272,0.0
2023-04-16 08:50:31:183019,-29.318181818181817,1.5909090909090908,1028.75,-117.69111570247934,372.27272727272725,725.4545454545455,-162.6818181818182,-162.6818181818182,-162.6818181818182,0.0
2023-04-16 08:50:31:197458,-29.84090909090909,3.1818181818181817,1027.7272727272727,-95.96074380165288,375.45454545454544,725.4545454545455,-162.6590909090909,-162.6590909090909,-162.6590909090909,0.0
2023-04-16 08:50:31:207615,-29.40909090909091,3.090909090909091,1027.2272727272727,-74.41115702479338,367.5,723.8636363636364,-162.52272727272728,-162.52272727272728,-162.52272727272728,0.0
2023-04-16 08:50:31:223149,-31.63636363636364,2.727272727272727,1026.75,-52.933884297520656,364.3181818181818,725.4545454545455,-162.6590909090909,-162.6590909090909,-162.6590909090909,0.0
